geoid,name,lat,lon,aland_sqmi,population,median_hh_income,poverty_rate,snap_rate
48201342001,Census Tract 3420.01,29.6410729,-95.1289991,1.9510456362674191,6399.0,147576.0,0.09126426004063135,0.037534754402224285
48201421101,Census Tract 4211.01,29.7222779,-95.4700803,0.4782087590355772,2746.0,57039.0,0.24726875455207575,0.11842105263157894
48201423301,Census Tract 4233.01,29.6696145,-95.5174645,0.6386260977854451,4664.0,52578.0,0.12049742710120069,0.16085918854415274
48201453401,Census Tract 4534.01,29.6544782,-95.5763225,0.3719766111204271,3639.0,74928.0,0.2283507997793712,0.2657973921765296
48201331100,Census Tract 3311,29.6749553,-95.3691233,1.2476215576140233,4129.0,58717.0,0.24660194174757283,0.3423749246534057
48201331200,Census Tract 3312,29.6635175,-95.3705233,1.3691653588324775,5016.0,32156.0,0.37042225335201123,0.4675603217158177
48201331300,Census Tract 3313,29.6462011,-95.379166,1.7523895119348638,5819.0,41975.0,0.337891639259131,0.26977475117862754
48201331400,Census Tract 3314,29.6526092,-95.3623778,0.6014514097518386,3353.0,21099.0,0.7807933194154488,0.46802030456852795
48201321700,Census Tract 3217,29.6779849,-95.2355748,0.7450953124259709,3202.0,77482.0,0.12589815682599187,0.18403115871470302
48201554905,Census Tract 5549.05,30.0608261,-95.5233122,3.78567568018681,8210.0,129497.0,0.09342265529841656,0.12407910042652191
48201541005,Census Tract 5410.05,29.9115067,-95.631272,0.6320372644490635,4587.0,78116.0,0.0329191192500545,0.08730461303850552
48201541004,Census Tract 5410.04,29.9182594,-95.6410942,1.4271729610372614,5738.0,76413.0,0.069856793573175,0.06433350488934637
48201554804,Census Tract 5548.04,30.0541221,-95.5555414,3.244996364095278,4671.0,137115.0,0.014712245781047165,0.07635746606334842
48201350102,Census Tract 3501.02,29.5645758,-95.2314615,1.7508474199134452,5213.0,120419.0,0.04316132745060426,0.0
48201555002,Census Tract 5550.02,30.0633677,-95.4875321,1.3896805109271333,4839.0,93409.0,0.1483777640008266,0.13719862227324914
48201554906,Census Tract 5549.06,30.0534364,-95.5012016,0.7564420826626884,4743.0,92700.0,0.07179161372299873,0.08879618593563766
48201553804,Census Tract 5538.04,30.033699,-95.5283334,1.0538998188682804,5826.0,69227.0,0.10332990044627531,0.14416709118695872
48201553803,Census Tract 5538.03,30.0373066,-95.5193169,1.031282726622247,4828.0,118500.0,0.03003314001657001,0.006032171581769437
48201240804,Census Tract 2408.04,30.0274141,-95.425315,0.3460239823263127,2993.0,41701.0,0.2579351820915469,0.23457792207792208
48201241302,Census Tract 2413.02,30.0538133,-95.4189823,3.6779829078057045,8982.0,96767.0,0.018704074816299265,0.09039900249376559
48201555704,Census Tract 5557.04,30.0127186,-95.7668733,3.0548638310158114,8211.0,165000.0,0.0023139690658872244,0.0
48201554404,Census Tract 5544.04,29.9748177,-95.6401025,2.30164299866226,4776.0,189167.0,0.005455308434746118,0.0
48201555505,Census Tract 5555.05,30.0173017,-95.6174434,2.889045695271551,11508.0,132500.0,0.1070559610705596,0.06625835189309577
48201250305,Census Tract 2503.05,29.9758067,-95.2100988,0.9153636616501688,5769.0,89746.0,0.10677760443751083,0.0381246780010304
48201250901,Census Tract 2509.01,30.042393,-95.1682727,1.3188226566800727,4067.0,93466.0,0.09540201622817802,0.015410016510731976
48201521402,Census Tract 5214.02,29.824482,-95.503472,0.3592997189473584,3430.0,43276.0,0.4084548104956268,0.21227364185110664
48201520501,Census Tract 5205.01,29.8148906,-95.4713169,1.7841873413079106,4009.0,44181.0,0.32125905570821883,0.37920250195465205
48201521701,Census Tract 5217.01,29.8574849,-95.5312384,1.5768493238372434,4632.0,31588.0,0.4830213321723988,0.10660744031093837
48201551901,Census Tract 5519.01,29.9034698,-95.5860688,0.14568174986718377,2362.0,73713.0,0.018628281117696866,0.07097361237488627
